"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE947307492223";"solar400 1";"In Betrieb";"Solare Strahlungsenergie";"287,5";"273";"12/29/2010";"2/1/2019";"Sachsen";"09648";"Mittweida";"Altenburger Straße";"18 a";"";"";"14522360";"50,986";"12,956";"1250";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"solar400 GmbH & Co. KG";"ABR922891810752";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL933499539853";"EEG906843602237";"E41081010000000000000000000140851";"12/29/2010";"287,5";"";"";"";"";""
"SEE982140864486";"AuerSolarI/I";"In Betrieb";"Solare Strahlungsenergie";"989,4";"875";"12/11/2010";"2/3/2019";"Sachsen-Anhalt";"06198";"Salzatal";"Am Schauchenberg";"3";"";"";"15088319";"51,486613";"11,802551";"4608";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"5/9/2022";"";"";"Auer Solar";"ABR973713974770";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL945203720655";"EEG966469267302";"E41081010000000000000000000158799";"12/11/2010";"989,4";"";"";"";"";""
"SEE900237780105";"39444 Hecklingen";"In Betrieb";"Solare Strahlungsenergie";"747,06";"747,06";"1/31/2019";"2/1/2019";"Sachsen-Anhalt";"39444";"Hecklingen";"Staßfurter Straße";"4";"";"";"15089175";"51,852";"11,544";"2436";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/21/2020";"";"";"Pro Solar Infrastrukturgesellschaft mbH";"ABR928650895732";"Volleinspeisung";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL930855180247";"EEG905480216517";"";"1/31/2019";"747,06";"";"";"";"";""
"SEE994799308280";"solar400 2";"In Betrieb";"Solare Strahlungsenergie";"287,5";"262";"12/29/2010";"2/1/2019";"Sachsen";"09648";"Mittweida";"Altenburger Straße";"18 a";"";"";"14522360";"50,986";"12,956";"1250";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"solar400 GmbH & Co. KG";"ABR922891810752";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung; Mittelspannung";"SEL918111377983";"EEG925673608240";"E41081010000000000000000000165516";"12/29/2010";"287,5";"";"";"";"";""
"SEE994872405684";"SP Elsteraue Basis";"In Betrieb";"Solare Strahlungsenergie";"2283,54";"2023";"5/19/2011";"2/1/2019";"Sachsen-Anhalt";"06729";"Elsteraue";"Dr.-Pier-Straße";"";"";"";"15084130";"51,068775";"12,205957";"9996";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"1/27/2022";"";"";"Solarpark Elsteraue GmbH & Co. KG";"ABR948985124215";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL938641335314";"EEG962965671544";"E41081010000000000000000000159269";"5/19/2011";"2283,54";"";"";"";"";""
"SEE933951889212";"SP Elsteraue Erweiterung";"In Betrieb";"Solare Strahlungsenergie";"166,32";"132";"3/31/2014";"2/1/2019";"Sachsen-Anhalt";"06729";"Elsteraue";"Dr.-Pier-Straße";"903 Z";"";"";"15084130";"51,068775";"12,205957";"1584";"Ost";"";"";"";"";"";"";"";"";"Freifläche";"7/6/2021";"";"";"Solarpark Elsteraue GmbH & Co. KG";"ABR948985124215";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL938641335314";"EEG984045616689";"E41081010000000000000000000217487";"3/31/2014";"166,32";"";"";"";"";""
"SEE968686078587";"Freifläche Güsten 1";"In Betrieb";"Solare Strahlungsenergie";"743,7";"679,4";"1/28/2019";"2/2/2019";"Sachsen-Anhalt";"39439";"Güsten";"Ilberstedter Str.";"27";"";"";"15089165";"51,800911";"11,630363";"2220";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"6/4/2021";"";"";"Solarstrom Güsten GbR Rieken und Partner";"ABR957225684587";"Volleinspeisung";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL987138270447";"EEG940817652347";"";"1/28/2019";"743,7";"";"";"";"";""
"SEE995587344763";"Auer SolarI/II";"In Betrieb";"Solare Strahlungsenergie";"80,85";"75";"12/7/2011";"2/3/2019";"Sachsen-Anhalt";"06198";"Salzatal";"Am Schauchenberg";"3";"";"";"15088319";"51,486613";"11,802551";"330";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"5/9/2022";"";"";"Auer Solar";"ABR973713974770";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL966058591320";"EEG985450006850";"E41081010000000000000000000178791";"12/7/2011";"80,85";"";"";"";"";""
"SEE924515073239";"Auer Solar II";"In Betrieb";"Solare Strahlungsenergie";"446,88";"400";"11/25/2011";"2/3/2019";"Sachsen-Anhalt";"06198";"Salzatal";"Am Schauchenberg";"3";"";"";"15088319";"51,491611";"11,804932";"1824";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"11/25/2020";"";"";"Auer Solar";"ABR973713974770";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL938865073009";"EEG956370923527";"E41081010000000000000000000176013";"11/25/2011";"446,88";"";"";"";"";""
"SEE901324017296";"Reichenbach, Solarpark zum Sachsenwald";"In Betrieb";"Solare Strahlungsenergie";"1100";"990";"3/31/2015";"2/4/2019";"Sachsen";"08468";"Reichenbach";"";"";"Reichenbach";"517/10";"14523340";"50,640199";"12,324043";"4400";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/30/2019";"";"";"Hayn, Dullenkopf, Hübner, Rudolph GbR";"ABR939938319383";"Volleinspeisung";"";"Stadtwerke Reichenbach/Vogtland GmbH (SNB959567240391)";"SNB959567240391";"Geprüft";"Mittelspannung";"SEL965722638804";"EEG905916618458";"E40227010000000000000000011100001";"3/31/2015";"1100";"";"";"";"";""
"SEE938932430377";"Hof";"In Betrieb";"Solare Strahlungsenergie";"5,2";"5,2";"8/4/2015";"2/4/2019";"Sachsen";"01589";"Riesa";"";"";"";"";"14627230";"";"";"20";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"6/10/2021";"";"";"natürliche Person (ABR918896661611)";"ABR918896661611";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Stadtwerke Riesa GmbH (SNB951305396193)";"SNB951305396193";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL954853247665";"EEG974526821336";"";"8/4/2015";"5,2";"";"";"";"";""
"SEE913906431727";"Freifläche Wolmirstedt (Handwerkerring)";"In Betrieb";"Solare Strahlungsenergie";"749,55";"749,55";"1/31/2019";"2/4/2019";"Sachsen-Anhalt";"39326";"Wolmirstedt";"Handwerkerring";"";"";"";"15083565";"52,254565";"11,639454";"2630";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"2/4/2019";"";"";"FFV GmbH & Co. Calbe KG";"ABR980333585514";"Volleinspeisung";"";"Stadtwerke Wolmirstedt GmbH (SNB971345683381)";"SNB971345683381";"Geprüft";"Mittelspannung";"SEL920991086220";"EEG945296047479";"";"1/31/2019";"749,55";"";"";"";"";""
"SEE998780160123";"PV-Anlage Sergen";"In Betrieb";"Solare Strahlungsenergie";"748,44";"594";"12/14/2017";"2/4/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Sergen";"Flur 1: 174, 175, 176, 177, 178, 180, 181, 182";"12052000";"51,707562";"14,483754";"2772";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/6/2022";"";"";"SP VIII  GmbH & Co.KG";"ABR939206575732";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL910236119424";"EEG907910396554";"E41081010000000000000000000266040";"12/14/2017";"748,44";"";"";"";"";""
"SEE959329377860";"Freifläche Calbe Saale";"In Betrieb";"Solare Strahlungsenergie";"749,79";"749,79";"1/12/2018";"2/4/2019";"Sachsen-Anhalt";"39240";"Calbe";"Gewerbering West";"";"";"";"15089055";"51,89838";"11,75003";"2777";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/25/2019";"";"";"FFV GmbH & Co. Calbe KG";"ABR980333585514";"Volleinspeisung";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL989057838210";"EEG926784498782";"E4187802S000000000000095741400001";"1/12/2018";"749,79";"";"";"";"";""
"SEE951214623342";"PV-Anlage Gablenz";"In Betrieb";"Solare Strahlungsenergie";"748,44";"612";"2/14/2018";"2/4/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Gablenz";"Flur 2: 101, 102, 103";"12052000";"51,681691";"14,516307";"2772";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/15/2022";"";"";"SP VI GmbH & Co.KG";"ABR994770244699";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL936190398101";"EEG979488820526";"E41081010000000000000000000259162";"2/14/2018";"748,44";"";"";"";"";""
"SEE958761609713";"Freiflächenanlage Nase";"In Betrieb";"Solare Strahlungsenergie";"90";"80";"12/16/2009";"2/4/2019";"Sachsen";"04838";"Doberschütz";"Alte Flugplatzstraße";"";"";"";"14730080";"51,510605";"12,686403";"1200";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"6/24/2019";"";"";"Energiepark Sachsen GmbH & Co. Gewerbeimmobilie Rote Jahne KG";"ABR910514282574";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL906804606236";"EEG934490109816";"E41081010000000000000000000127593";"12/16/2009";"90";"";"";"";"";""
"SEE933290191069";"Solarpark Amsdorf II";"In Betrieb";"Solare Strahlungsenergie";"3571,2";"3168";"4/20/2012";"2/4/2019";"Sachsen-Anhalt";"06317";"Seegebiet Mansfelder Land";"Chausseestraße";"1";"";"";"15087386";"51,455198";"11,739311";"15360";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/7/2020";"";"";"GERO Solarpark GmbH";"ABR975732884801";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL964238430186";"EEG917897897883";"E41081010000000000000000000189323";"4/20/2012";"3571,2";"";"";"";"";""
"SEE969480741738";"Angersdorf 1.1";"In Betrieb";"Solare Strahlungsenergie";"721,05";"600";"1/31/2019";"2/4/2019";"Sachsen-Anhalt";"06179";"Teutschenthal";"";"";"Angersdorf";"Flur 3; Flurstück 26/31";"15087386";"51,45794";"11,88167";"2530";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/19/2019";"";"";"SPP 1 Solar Invest 1 GmbH & Co. KG";"ABR970009943502";"Volleinspeisung";"SGE945206780328";"Energieversorgung Halle Netz GmbH (SNB982934611074)";"SNB982934611074";"Geprüft";"Mittelspannung";"SEL908049627847";"EEG911318611485";"";"1/31/2019";"721,05";"";"";"";"";""
"SEE968694944010";"NMB Star Asset Sun BEUNA";"In Betrieb";"Solare Strahlungsenergie";"3953,56";"3953,56";"12/23/2011";"2/5/2019";"Sachsen-Anhalt";"06217";"Beuna";"";"";"Beuna";"Flur 2, Fl. Nr. 88";"15088220";"51,3077";"11,9618";"16824";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"NMB Star Asset Sun Beuna GmbH & Co. KG";"ABR987888682217";"Volleinspeisung";"";"Stadtwerke Merseburg GmbH (SNB913006238462)";"SNB913006238462";"Geprüft";"Mittelspannung";"SEL923334920625";"EEG969722674381";"E41081010000000000000000000175625";"12/23/2011";"3953,56";"";"";"";"";""
"SEE952561386782";"PVA Lausitzring";"In Betrieb";"Solare Strahlungsenergie";"8976,42";"7986";"6/28/2017";"2/5/2019";"Brandenburg";"01994";"Meuro";"";"";"Schipkau";"Flur 1, Flurstück 510";"12066285";"51,538096";"13,940861";"33246";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"Wattner SunAsset Solarkraftwerk 035 GmbH & Co. KG";"ABR940148519746";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL908195388685";"EEG903650674693";"E41081010000000000000000000232557";"6/28/2017";"8976,42";"FFA15-3/110,";"";"";"";""
"SEE949574148513";"NMB Star Asset Sun LUEPTITZ";"In Betrieb";"Solare Strahlungsenergie";"1079,33";"990";"12/14/2011";"2/5/2019";"Sachsen";"04808";"Wurzen";"";"";"Lüptitz";"Fl. Nr. 462/5";"14729030";"51,3809";"12,7746";"4652";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"11/5/2021";"";"";"NMB Star Asset Sun Lüptitz GmbH & Co. KG";"ABR911631271786";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL913136710241";"EEG940683014621";"E41081010000000000000000000166842";"12/14/2011";"1079,33";"";"";"";"";""
"SEE962677893340";"solar400 3";"In Betrieb";"Solare Strahlungsenergie";"287,5";"262";"12/29/2010";"2/5/2019";"Sachsen";"09648";"Mittweida";"Altenburger Straße";"18 a";"";"";"14522360";"50,986";"12,956";"1238";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"solar400 GmbH & Co. KG";"ABR922891810752";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung; Mittelspannung";"SEL918111377983";"EEG988397797638";"E41081010000000000000000000165521";"12/29/2010";"287,54";"";"";"";"";""
"SEE971011968866";"solar400 4";"In Betrieb";"Solare Strahlungsenergie";"287,5";"262";"12/29/2010";"2/5/2019";"Sachsen";"09648";"Mittweida";"Altenburger Straße";"18 a";"";"";"14522360";"50,986";"12,956";"1250";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"solar400 GmbH & Co. KG";"ABR922891810752";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung; Mittelspannung";"SEL918111377983";"EEG975108907080";"E41081010000000000000000000165523";"12/29/2010";"287,5";"";"";"";"";""
"SEE930608590132";"PV-Anlage Gablenz";"In Betrieb";"Solare Strahlungsenergie";"1995,84";"1584";"2/15/2018";"2/5/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Gablenz";"Flur 2: 101, 102,0103";"12052000";"51,681691";"14,516307";"7392";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"SP VI GmbH & Co.KG";"ABR994770244699";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL936190398101";"EEG987092539178";"E41081010000000000000000000250042";"2/15/2018";"1995,84";"FFA16-2/045,";"";"";"";""
"SEE957427813617";"Solarpark Elsnigk";"In Betrieb";"Solare Strahlungsenergie";"5685,12";"5216,4";"9/27/2012";"2/5/2019";"Sachsen-Anhalt";"06386";"Osternienburger Land";"Rübenweg";"900";"";"";"15082256";"51,788877";"12,055634";"24192";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"PI 1 Solarkraftwerk Elsnigk";"ABR991126374499";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL976249400638";"EEG962202624005";"E41081010000000000000000000184835";"9/27/2012";"5685,12";"";"";"";"";""
"SEE971944619491";"PV-Anlage Sergen";"In Betrieb";"Solare Strahlungsenergie";"1999,48";"1584";"2/21/2018";"2/5/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Sergen";"Flur1: 174, 175, 176, 177, 178, 180, 181";"12052000";"51,707562";"14,483754";"7364";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"1/27/2022";"";"";"SP VIII  GmbH & Co.KG";"ABR939206575732";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL906743396373";"EEG915347591046";"E41081010000000000000000000266041";"2/21/2018";"1999,48";"FFA16-2/044,";"";"";"";""
"SEE985641656390";"PV-Anlage Sergen";"In Betrieb";"Solare Strahlungsenergie";"4747,26";"3708";"2/21/2018";"2/5/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Sergen";"Flur1: 174, 175, 176, 177, 178, 180, 181";"12052000";"51,707562";"14,483754";"17304";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"SP VIII  GmbH & Co.KG";"ABR939206575732";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL906743396373";"EEG972205933967";"E41081010000000000000000000266042";"2/21/2018";"4747,26";"SOL17-2/040,";"";"";"";""
"SEE938820181329";"PV-Anlage Sergen";"In Betrieb";"Solare Strahlungsenergie";"2497,32";"1962";"12/15/2017";"2/5/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Sergen";"Flur1: 174, 175, 176, 177, 178, 180, 181, 182";"12052000";"51,707562";"14,483754";"9156";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"1/27/2022";"";"";"SP VII GmbH & Co.KG";"ABR991203239383";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL906743396373";"EEG910519669301";"E41081010000000000000000000266001";"12/15/2017";"2497";"FFA15-3/088,";"";"";"";""
"SEE900457843307";"Solarpark Pratzschwitz";"In Betrieb";"Solare Strahlungsenergie";"538,56";"459";"12/22/2010";"2/6/2019";"Sachsen";"01796";"Pirna";"Pratzschwitzer Straße";"207";"";"";"14628270";"50,975";"13,886";"2244";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/30/2021";"";"";"Stadtwerke Pirna GmbH";"ABR952483713826";"Volleinspeisung";"";"Stadtwerke Pirna Energie GmbH (SNB927925826730)";"SNB927925826730";"Geprüft";"Umspannebene Mittelspannung/Niederspannung";"SEL933068450510";"EEG943012947829";"E41874010000000000314100669100001";"12/22/2010";"538,56";"";"";"";"";""
"SEE972103281696";"SP Zeitz Fläche";"In Betrieb";"Solare Strahlungsenergie";"728,64";"630";"6/29/2010";"2/5/2019";"Sachsen-Anhalt";"06729";"Elsteraue";"Dr.-Fischer-Straße";"3";"";"";"15084130";"51,062819";"12,182904";"3036";"Süd-Ost";"";"";"";"";"";"";"";"";"Freifläche";"9/30/2019";"";"";"natürliche Person (ABR919336185476)";"ABR919336185476";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL918947234047";"EEG954317245114";"E41081010000000000000000000140665";"6/29/2010";"728,64";"";"";"";"";""
"SEE976721859220";"PV-Anlage Frauendorf";"In Betrieb";"Solare Strahlungsenergie";"9984";"7800";"6/9/2017";"2/5/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Frauendorf";"Flur 1: 34/8, 34/13, 34/14, 34/15, 24/16, 34/17, 34/18, 34/19, 34/22, 24/23, 34/24, 34/25, 34/26, 34/27, 34/29, 34/31, 34/32, 34/33, 34/34, 34/35, 34/36, 34/37, 34/38, 42, 398, 399";"12052000";"51,702444";"14,398055";"31200";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"Solar Project 19 GmbH & Co.KG";"ABR998840140584";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL964706406811";"EEG935054387565";"E41081010000000000000000000253670";"6/9/2017";"9984";"FFA15-3/086,";"";"";"";""
"SEE911157803850";"PV-Anlage Kahsel";"In Betrieb";"Solare Strahlungsenergie";"2993,76";"2520";"10/26/2017";"2/5/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Kahsel/Bagenz";"Kahsel Flur 1: 97, 110, 336, 337; Flur 2: 4, 5, 15, 16, 17, 18, 19, 20, 21, 22, 31, 86, 87, 88; Bagenz Flur 5: 14,";"12052000";"51,702444";"14,398056";"11088";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/6/2022";"";"";"SP V GmbH & Co.KG";"ABR979699805183";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL910236119424";"EEG977137344867";"E41081010000000000000000000261748";"10/26/2017";"2993,76";"FFA16-1/091,";"";"";"";""
"SEE944497198522";"Solarpark Jocksdorf IVb";"In Betrieb";"Solare Strahlungsenergie";"3424,3";"2755";"2/15/2019";"2/15/2019";"Brandenburg";"03159";"Neiße-Malxetal";"Am Groß Schacksdorfer Wald";"998 z";"";"";"12071153";"51,66453";"14,625888";"12452";"Süd-Ost";"";"";"";"";"";"";"";"";"Freifläche";"9/30/2021";"";"";"Big Game Solarparks GmbH & Co. KG";"ABR989130075297";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL974869544978";"EEG951536811724";"E41081010000000000000000000260960";"2/15/2019";"3424,3";"SOL17-1/017,";"";"";"";""
"SEE918939814394";"DE-S-TURNOW-PRE";"In Betrieb";"Solare Strahlungsenergie";"1439,9";"1250";"4/16/2009";"2/12/2019";"Brandenburg";"03185";"Turnow-Preilack";"Solarpark";"901";"";"";"12071304";"51,8717";"14,389";"15860";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"2/2/2022";"";"";"Solar Power Turnow GmbH & Co. KG";"ABR936492462845";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung";"SEL996720060700";"EEG963325219291";"E41081010000000000000000000137030";"4/16/2009";"1439,9";"";"";"";"";""
"SEE999526177979";"PV-Anlage Laubsdorf 1.BA";"In Betrieb";"Solare Strahlungsenergie";"7240,45";"5560";"12/21/2018";"2/6/2019";"Brandenburg";"03058";"Neuhausen";"Laubsdorfer Weg";"998 U";"";"";"12071301";"51,680489";"14,437515";"25527";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"1/27/2022";"";"";"SP IX GmbH & Co. KG";"ABR975481320803";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL906743396373";"EEG966072378020";"E41081010000000000000000000281387";"12/21/2018";"7240,45";"SOL17-2/041,";"";"";"";""
"SEE933490953979";"PV-Anlage Laubsdorf 1.BA";"In Betrieb";"Solare Strahlungsenergie";"2746,2";"2100";"1/18/2019";"2/6/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Laubsdorf";"Flur1: 122, 24, 125, 138/2, 617, 619";"12052000";"51,680489";"14,437515";"9660";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/6/2022";"";"";"SP IX GmbH & Co. KG";"ABR975481320803";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL910236119424";"EEG955860302521";"E41081010000000000000000000288087";"1/18/2019";"2746,2";"GEM18-2/039,";"";"";"";""
"SEE977910871764";"Mini 2";"In Betrieb";"Solare Strahlungsenergie";"0,25";"0,25";"10/22/2018";"2/6/2019";"Sachsen";"09392";"Auerbach";"";"";"";"";"14521040";"";"";"1";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"1/27/2022";"";"";"natürliche Person (ABR942622653137)";"ABR942622653137";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL915999195135";"EEG986643953302";"E41081010000000000000000000298746";"10/22/2018";"0,25";"";"";"";"";""
"SEE954724155457";"Green-Solar ""Eisleben"" GmbH & Co. KG";"In Betrieb";"Solare Strahlungsenergie";"1000,31";"1000,31";"12/30/2010";"12/9/2020";"Sachsen-Anhalt";"06295";"Lutherstadt Eisleben";"Hallesche Straße";"153";"";"";"15087130";"51,510208";"11,578849";"4372";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/3/2021";"";"";"Green-Solar ""Eisleben"" GmbH & Co. KG";"ABR938525113472";"Volleinspeisung";"";"Stadtwerke Lutherstadt Eisleben GmbH (SNB946425570127)";"SNB946425570127";"Geprüft";"Mittelspannung";"SEL988377136075";"EEG908584579144";"E4113501SOLAR0WAGNER&CO0000000001";"12/30/2010";"1000,31";"";"";"";"";""
