"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE961753435764";"Garten";"In Betrieb";"Solare Strahlungsenergie";"0,6";"0,6";"7/14/2022";"7/14/2022";"Brandenburg";"15528";"Spreenhagen";"";"";"";"";"12067469";"";"";"2";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"7/14/2022";"";"";"natürliche Person (ABR929858829529)";"ABR929858829529";"Volleinspeisung";"";"EWE NETZ GmbH (SNB951051725711)";"SNB951051725711";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL915075017122";"EEG915638569945";"";"7/14/2022";"0,6";"";"";"";"";""
"SEE919589944226";"LäWeSol1";"In Betrieb";"Solare Strahlungsenergie";"0,6";"0,6";"8/1/2022";"8/16/2022";"Berlin";"14055";"Berlin";"";"";"";"";"11000000";"";"";"2";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"8/16/2022";"";"";"natürliche Person (ABR991937806585)";"ABR991937806585";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Stromnetz Berlin GmbH (SNB979269087643)";"SNB979269087643";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL990429136872";"EEG900576721654";"";"8/1/2022";"0,6";"";"";"";"";""
"SEE924186202709";"Gartenanlage";"In Betrieb";"Solare Strahlungsenergie";"5,92";"4";"7/1/2022";"7/14/2022";"Sachsen-Anhalt";"06889";"Lutherstadt Wittenberg";"";"";"";"";"15091375";"";"";"16";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"7/14/2022";"";"";"natürliche Person (ABR954775914621)";"ABR954775914621";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Stadtwerke Lutherstadt Wittenberg GmbH (SNB932107297727)";"SNB932107297727";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL980892722443";"EEG934467574630";"";"7/1/2022";"5,92";"";"";"";"";""
"SEE927776650843";"TrampeSolar";"In Planung";"Solare Strahlungsenergie";"1502,86";"1260";"";"7/15/2022";"Brandenburg";"16230";"Breydin";"";"";"Trampe";"Flur3: 234";"12060034";"52,769528";"13,843699";"3303";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/15/2022";"";"8/31/2022";"VB Solar1 GmbH";"ABR911283147002";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE939289443249";"Balkonkraftwerk";"In Betrieb";"Solare Strahlungsenergie";"0,73";"0,6";"7/17/2022";"7/17/2022";"Sachsen";"01768";"Glashütte";"";"";"";"";"14628130";"";"";"2";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/17/2022";"";"";"natürliche Person (ABR922441407265)";"ABR922441407265";"";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL916811032232";"EEG997395467221";"";"7/17/2022";"0,73";"";"";"";"";""
"SEE937035789900";"PV Borna A72 Nord";"In Betrieb";"Solare Strahlungsenergie";"9485,1";"7444,8";"8/16/2022";"7/21/2022";"Sachsen";"04552";"Borna";"";"";"Borna";"2419/35";"14729050";"51,13519";"12,51347";"28836";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"10/14/2022";"";"";"Naturstrom Borna GmbH & Co. KG";"ABR941737952166";"Volleinspeisung";"SGE963359255012";"Städtische Werke Borna Netz GmbH (SNB946013720880)";"SNB946013720880";"In Prüfung";"Mittelspannung";"SEL900651290693";"EEG952098973684";"";"12/23/2021";"9485,1";"SOL20-3/076; SOL21-1/259; SOL20-5/025; SOL21-3/188,";"";"";"";""
"SEE960169863260";"PV Borna A72 Süd";"In Betrieb";"Solare Strahlungsenergie";"3126,42";"2400";"7/21/2022";"7/21/2022";"Sachsen";"04552";"Borna";"";"";"Borna";"2419/35, 1299/16, 2419/38";"14729050";"51,13201";"12,516178";"9474";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"9/16/2022";"";"";"Naturstrom Borna GmbH & Co. KG";"ABR941737952166";"Volleinspeisung";"SGE963359255012";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL923522986921";"EEG996732431918";"";"7/21/2022";"3126,42";"SOL20-5/025; SOL21-3/188,";"";"";"";""
"SEE944259384422";"CB Mieste";"In Betrieb";"Solare Strahlungsenergie";"177,6";"132";"6/22/2022";"7/18/2022";"Sachsen-Anhalt";"39649";"Gardelegen";"Kurze Straße (Mieste)";"3";"";"";"15081135";"52,483517";"11,198634";"480";"Ost-West";"";"";"";"";"";"";"";"";"Freifläche";"7/18/2022";"";"";"Carl Bechem GmbH";"ABR963820692568";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL950553915668";"EEG980970916245";"";"6/22/2022";"177,6";"";"";"";"";""
"SEE938965607425";"Garten";"In Betrieb";"Solare Strahlungsenergie";"8,2";"8,2";"7/19/2022";"7/19/2022";"Sachsen";"04571";"Rötha";"";"";"";"";"14729370";"";"";"20";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"9/2/2022";"";"";"natürliche Person (ABR913865470164)";"ABR913865470164";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom); Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL997714849363";"EEG945856483136";"E41081010000000000000000000425442";"7/19/2022";"8,2";"";"";"";"";""
"SEE920202515594";"Netzauschluss - ID 1000051274";"In Betrieb";"Solare Strahlungsenergie";"1,5";"1,5";"8/8/2001";"7/20/2022";"Sachsen";"04435";"Schkeuditz";"";"";"";"";"14730270";"";"";"5";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/20/2022";"";"";"natürliche Person (ABR977585841383)";"ABR977585841383";"Volleinspeisung";"";"Stadtwerke Schkeuditz GmbH (SNB942159258331)";"SNB942159258331";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL943284587785";"EEG984713895279";"E40200010000000000000000077100000";"8/8/2001";"1,5";"";"";"";"";""
"SEE970117649396";"Gardelegen 1";"In Betrieb";"Solare Strahlungsenergie";"4847,04";"4250";"7/19/2022";"7/21/2022";"Sachsen-Anhalt";"39638";"Gardelegen";"";"";"Gardelegen";"Flur39: 440, 441.";"15081135";"52,544584";"11,398125";"10956";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/21/2022";"";"";"ENERPARC Solar Invest 123 GmbH";"ABR913494531991";"Volleinspeisung";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"In Prüfung";"Mittelspannung";"SEL972549448738";"EEG939067540498";"";"7/19/2022";"4847,04";"SOL19-5/126,";"";"";"";""
"SEE971545579224";"ABR941923923253";"In Betrieb";"Solare Strahlungsenergie";"0,8";"0,8";"7/11/2022";"7/21/2022";"Brandenburg";"14532";"Kleinmachnow";"";"";"";"";"12069304";"";"";"2";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/21/2022";"";"";"natürliche Person (ABR941923923253)";"ABR941923923253";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL911472602282";"EEG936054602146";"";"7/11/2022";"0,8";"";"";"";"";""
"SEE925174000734";"Garten";"In Betrieb";"Solare Strahlungsenergie";"0,6";"0,6";"7/15/2022";"7/29/2022";"Brandenburg";"14798";"Havelsee";"";"";"";"";"12069270";"";"";"2";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"7/29/2022";"";"";"natürliche Person (ABR973109991985)";"ABR973109991985";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL912397232721";"EEG977274790947";"";"7/15/2022";"0,6";"";"";"";"";""
"SEE904350046025";"Solar KS3";"In Betrieb";"Solare Strahlungsenergie";"0,26";"0,26";"7/25/2022";"7/25/2022";"Sachsen";"01744";"Dippoldiswalde";"";"";"";"";"14628060";"";"";"1";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"7/25/2022";"";"";"natürliche Person (ABR942750306912)";"ABR942750306912";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL905814608995";"EEG956910971728";"";"7/25/2022";"0,26";"";"";"";"";""
"SEE916409012066";"Neusorge1";"In Betrieb";"Solare Strahlungsenergie";"0,6";"0,6";"7/25/2022";"7/25/2022";"Sachsen";"09648";"Mittweida";"";"";"";"";"14522360";"";"";"2";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/25/2022";"";"";"natürliche Person (ABR949128460054)";"ABR949128460054";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL919373455280";"EEG927918651264";"";"7/25/2022";"0,6";"";"";"";"";""
"SEE900668661943";"Freiland Hartplatz";"In Betrieb";"Solare Strahlungsenergie";"10,08";"10";"7/15/2022";"7/26/2022";"Sachsen";"02699";"Königswartha";"";"";"";"";"14625280";"";"";"28";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/26/2022";"";"";"Königswarthaer Sportverein 1990 e. V.";"ABR982478468073";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL925864043348";"EEG996573553459";"";"7/15/2022";"10,08";"";"";"";"";""
"SEE902352405161";"1x selfPV Balkonpaket 370Wp";"In Betrieb";"Solare Strahlungsenergie";"0,37";"0,37";"7/1/2022";"7/26/2022";"Sachsen-Anhalt";"39343";"Ingersleben";"";"";"";"";"15083323";"";"";"1";"Süd-Ost";"";"";"";"";"";"";"";"";"Freifläche";"7/26/2022";"";"";"natürliche Person (ABR902185664445)";"ABR902185664445";"";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL911181722905";"EEG939129614938";"";"7/1/2022";"0,37";"";"";"";"";""
"SEE992738593988";"Photovoltaik Freiland";"In Betrieb";"Solare Strahlungsenergie";"8,1";"8";"8/10/2022";"7/26/2022";"Sachsen";"08297";"Zwönitz";"";"";"";"";"14521710";"";"";"20";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"11/19/2022";"";"";"natürliche Person (ABR941123001027)";"ABR941123001027";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Umspannebene Mittelspannung/Niederspannung";"SEL910475306807";"EEG921077197564";"E41081010000000000000000000435663";"4/27/2022";"8,1";"";"";"";"";""
"SEE945398806080";"Photovoltaikanlage";"In Betrieb";"Solare Strahlungsenergie";"0,67";"0,6";"7/27/2022";"7/27/2022";"Brandenburg";"14469";"Potsdam";"";"";"";"";"12054000";"";"";"2";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"7/27/2022";"";"";"natürliche Person (ABR957494121028)";"ABR957494121028";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Netzgesellschaft Potsdam GmbH (SNB929027950139)";"SNB929027950139";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL955138573288";"EEG900924464387";"";"7/27/2022";"0,67";"";"";"";"";""
"SEE927307785044";"Solarpark Finsterwalde III";"In Betrieb";"Solare Strahlungsenergie";"9999";"8050";"7/20/2022";"7/28/2022";"Brandenburg";"03238";"Finsterwalde";"";"";"Finsterwalde";"Flur 54: 15/1; 108; 135";"12062140";"51,533577";"13,712965";"26664";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"9/2/2022";"";"";"Solarpark Finsterwalde GmbH & Co. KG";"ABR989038210691";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL961757034819";"EEG942666169618";"E41081010000000000000000000345783";"7/20/2022";"9999";"Inn20-1/077,";"";"";"";""
"SEE959073055823";"Range";"In Planung";"Solare Strahlungsenergie";"11,2";"10";"";"7/29/2022";"Brandenburg";"15517";"Fürstenwalde";"";"";"";"";"12067144";"";"";"28";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/29/2022";"";"12/31/2022";"natürliche Person (ABR957104399960)";"ABR957104399960";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"";"";"";"";"";"";"";"";"";""
